id,product_id,name,value,price_modifier,stock,sku
ab5fee09-e2ae-4cfb-b24a-3f8ebe30e358,18302a9e-c403-4c3f-bea2-43ece4346cd0,Strength,5mg × 10 vials,0.00,100,TB500-5MG10V
ac00fc06-9d74-4263-9e14-88c5c3fe8248,b7840511-1a3a-4896-a497-7fa88d9101d2,Weight,20mg,0.00,0,
ad1e3914-5784-4299-a1a2-6952b5182647,58146650-99d8-4088-b1d2-e07b538d3fec,Strength,WA3,0.00,100,BACWATER-WA3
af5d29d8-4b37-4fbf-bf2c-5aa84efa2881,79e9e155-dc7c-4e0f-b70e-94ddf0fa9aac,Weight,"5mg, 10mg",0.00,0,
b0ad1076-5907-408d-8ddd-f518a67c8da0,9e9d68e0-ed90-45dd-a879-c0f0ed3f845b,weight,2mg,0.00,0,
b164d9ec-32b8-42f6-b997-978e939244a6,963b2f48-f801-4690-b931-5cad40cb15ed,Weight,5mg,0.00,0,
b20610fb-7afd-4295-be28-832a8d836762,b14dd91e-541e-440c-9027-38e1b50360ad,Weight,30mg,0.00,0,
b3815e6e-3144-40bf-bbea-35726d0d77c8,e11880bf-9d98-4846-8484-3fa5856ce278,Weight,10/50/10mg,0.00,0,
b41bd7b4-8841-4033-8bd7-e98ad98b2afb,a279ae74-1533-47b0-bb14-e00c80203c43,Strength,10mg × 10 vials,102.00,100,CJC1295WITHOUTDAC-10MG10VIALS
b4d14d8a-379d-49df-abe9-dcf0c3f91708,a93d27fc-0c11-4c0f-a4f9-5e130b45ad2c,Weight,10mg,0.00,0,
b5b85569-cd47-45f0-b3c9-5368647b6a55,79e9e155-dc7c-4e0f-b70e-94ddf0fa9aac,Weight,10mg,0.00,0,
b67dd63c-fdd2-4be0-82ca-31509f43cb3d,2e8195eb-9e26-46e1-88ac-148525108581,Weight,20mg,0.00,0,
b76ddc75-b23a-439c-aeab-5afa67fb22fe,b1c933b3-dfda-4536-9eba-2dab0c1e8c74,weight,10mg,0.00,0,
b804cddb-6e84-43b5-8f1b-b33fabcb6480,30814c98-d858-45a8-9036-1f21663d54ac,Strength,5mg × 10 vials,0.00,100,SEMAGLUTIDE-5MG10VIALS
b8f241c8-ef78-4891-b66e-43fffbb42dbe,73e21165-85a7-4579-af66-19ed40ca1c41,weight,12.5mg/cap,0.00,0,
baad9fec-cee1-40c4-831e-fbe56f987f40,a93d27fc-0c11-4c0f-a4f9-5e130b45ad2c,Weight,5mg,0.00,0,
bbfa5c6d-f929-49eb-ada2-a1d18fd6dd6a,ad15fdb9-4a86-41de-a6c3-b9d7b318b299,Weight,"5mg, 10mg",0.00,0,
bc809765-3fb8-47c5-bab4-f0e938a20e50,f1eadc0f-738c-41e9-9dd6-6292067d1cb4,Weight,10ml,0.00,0,
bc88107a-dfcf-493d-a3a0-45fe66b20320,73e21165-85a7-4579-af66-19ed40ca1c41,weight,25mg/cap,0.00,0,
bdd7a14b-4c98-4e0e-b7b8-df0b5e9622df,84bac2ad-fa62-4aa0-9752-679b322d837b,weight,10mg,0.00,0,
